ran_lats,ran_lngs,City Name,Country,Lat,Lng,temp,max_temp,clouds,humidity,wind_speed
86.34640876948467,20.26996046760047,Longyearbyen,SJ,78.22317220000001,15.6267229,23,23,40,73,13.87
30.525634681602725,64.34676645022296,Geresk,AF,31.8299494,64.5681086,,,,,
70.27897984917885,170.52690865366185,Pevek,RU,69.692947,170.399612,25.57,25.57,88,86,15.46
-60.46421729377644,-44.40069501018883,Ushuaia,AR,-54.8019121,-68.3029511,33.8,33.8,75,100,24.16
-79.20901400354404,140.30576051137916,Hobart,AU,41.5322592,-87.2550353,59,59,0,77,6.93
-9.643784896500932,31.391180940695193,Mungwi,ZM,-10.1683268,31.3484448,78.98,78.98,88,30,7.4
-49.435069140687375,4.651801599067909,Cape Town,ZA,-33.9248685,18.4240553,60.8,60.8,20,87,10.29
-47.34981247012828,24.833984047078786,Kruisfontein,ZA,-33.9843356,24.732102,60.94,60.94,0,87,7.96
-4.143676553764678,-56.53306705424386,Itaituba,BR,-4.2670701,-55.99311729999999,93.2,93.2,20,49,5.82
81.71287620272378,0.40445796949049395,Barentsburg,SJ,78.0648475,14.2334597,,,,,
-58.842829929341605,39.323201439358144,Port Alfred,ZA,-33.5864065,26.8851448,62.47,62.47,0,88,6.17
-59.52383046608138,-6.874845523957646,Cape Town,ZA,-33.9248685,18.4240553,60.8,60.8,20,87,10.29
29.478018017165326,17.97221040920553,Waddan,LY,29.1560917,16.1463317,48.11,48.11,8,67,3.15
-63.830973535378874,80.22518185164307,Busselton,AU,-33.6554927,115.3500188,61.12,61.12,76,100,10.87
1.7350541274802538,-62.199848824211244,Boa Vista,BR,16.0950108,-22.8078335,96.8,96.8,40,34,9.17
68.86543938729125,-58.591540647183294,Upernavik,GL,72.7862882,-56.1375527,8.65,8.65,0,100,13.78
57.63479387571641,-46.863051564108076,Nanortalik,GL,60.1424955,-45.2394951,28.58,28.58,24,98,31.12
61.86223869081036,-127.26036980266741,Norman Wells,CA,65.28149379999999,-126.8286524,-5.81,-5.81,90,76,8.05
-42.55966524276873,-7.780455198986601,Jamestown,SH,37.2082678,-76.77408969999999,68.05,68.05,64,100,15.79
23.81532837419128,-113.38189694168658,Constitucion,MX,-33.6022037,-61.0471355,,,,,
7.342388388243748,0.9089259252330351,Amlame,TG,7.456151199999999,0.9032768999999999,77.14,77.14,24,87,3.94
-67.3982931767649,-108.92357312571747,Punta Arenas,CL,-53.1638329,-70.9170683,41.32,41.32,36,99,36.04
21.639504291735804,-90.88737770963323,Celestun,MX,20.8593042,-90.3972052,78.26,78.26,0,100,5.95
-28.854918769629435,76.63594764160183,Bambous Virieux,MU,-20.3438619,57.7636821,77,77,75,83,5.82
66.69769491378955,143.28210690925465,Khonuu,RU,66.455612,143.2225799,,,,,
76.76421684790029,-124.92178294437429,Tuktoyaktuk,CA,69.445358,-133.034181,3.2,3.2,90,84,9.17
-55.012948444023664,177.57014942697867,Dunedin,NZ,-45.8787605,170.5027976,40.01,40.01,0,89,3.38
29.21870663181079,125.48567049027457,Shenjiamen,CN,30.00955429999999,122.1155941,56.39,56.39,56,100,20.15
-67.65980691711567,-68.40938880741282,Ushuaia,AR,-54.8019121,-68.3029511,33.8,33.8,75,100,24.16
33.91881748512529,-38.81596797784968,Ribeira Grande,PT,37.8210369,-25.5148137,68,68,75,94,4.7
