City Name,Country,Lat,Lng,temp,max_temp,clouds,humidity,wind_speed
Busselton,AU,-33.6554927,115.3500188,61.12,61.12,76,100,10.87
Praia Da Vitoria,PT,38.7339162,-27.0646976,68,68,75,94,16.58
Punta Arenas,CL,-53.1638329,-70.9170683,41.32,41.32,36,99,36.04
Xuanhua,CN,40.608793,115.099494,17.69,17.69,0,39,4.94
Hokitika,NZ,-42.7173686,170.9665427,53.92,53.92,32,100,3.38
Marawi,SD,8.0106213,124.297718,78.44,78.44,0,36,7.63
Seoul,KR,37.566535,126.9779692,23.38,26.6,1,85,4.72
Notre-Dame-Du-Lac,CA,47.6134613,-68.8002286,,,,,
Sabla,BG,37.565713,-122.328818,,,,,
Airai,PW,7.396611799999999,134.5690225,,,,,
Yellowknife,CA,62.4539717,-114.3717887,-7.61,-7.61,75,76,10.29
Belushya Guba,RU,71.54555599999999,52.32027799999999,,,,,
Nikolskoye,RU,55.1981604,166.0015368,,,,,
Jamestown,SH,37.2082678,-76.77408969999999,68.05,68.05,64,100,15.79
Bethel,US,41.3712283,-73.41396209999999,47.19,53.6,90,61,9.17
Mataura,PF,-46.1934288,168.8660155,,,,,
East London,ZA,-33.0291582,27.8545867,60.8,60.8,0,72,4.7
Hobart,AU,41.5322592,-87.2550353,59,59,0,77,6.93
Taoudenni,ML,22.6764132,-3.9789143,71.24,71.24,0,13,8.41
Aguililla,MX,18.7371188,-102.7853522,81.64,81.64,0,55,1.7
Cape Town,ZA,-33.9248685,18.4240553,60.8,60.8,20,87,10.29
Urengoy,RU,65.957138,78.34486400000002,-3.02,-3.02,48,75,9.19
Rikitea,PF,-23.119901,-134.9702654,73,73,48,100,18.59
Vila Franca Do Campo,PT,37.7157269,-25.4345063,66.2,66.2,40,82,5.82
Georgetown,SH,38.9076089,-77.07225849999999,77,77,20,65,17.22
Honningsvag,NO,70.9822909,25.9702075,32.27,32.27,20,100,8.75
Puerto Ayora,EC,-0.7432918,-90.3156893,78.8,78.8,20,50,16.11
Hermanus,ZA,-34.4092004,19.2504436,63.23,63.23,0,59,3.71
Taolanaro,MG,-25.0225309,46.9853688,,,,,
Vanimo,PG,-2.6896767,141.2998457,83.03,83.03,76,100,15.46
Dhidhdhoo,MV,6.888643999999999,73.113569,81.32,81.32,12,100,0.81
Smirnykh,RU,49.7567238,142.8481098,12.56,12.56,24,76,15.01
Busselton,AU,-33.6554927,115.3500188,61.12,61.12,76,100,10.87
Dosso,NE,13.0504833,3.2080991,87.26,87.26,24,53,1.81
Tuysarkan,IR,34.5497961,48.4537424,,,,,
